	shannon
A1FF1	1.36743405121
A1FF2	1.63757494651
A1FF3	1.40353811479
A1FF4	1.68534642433
A1FM2	2.12242473823
A1FM3	1.52125762869
A1FM4	2.6693743512
A1GF1	1.48388814945
A1GF2	2.11657434029
A1GF3	1.27803431572
A1GF4	0.943204596644
A1GM2	1.66744069007
A1GM3	1.73000837535
A1GM4	1.30451108813
A2FF1	0.597446101597
A2FF2	0.490714293577
A2FF3	1.55575070136
A2FM1	0.631984247491
A2FM2	0.65517828962
A2FM3	0.917751520168
A2GF1	0.401773052478
A2GF2	0.737773260073
A2GF3	0.385057496582
A2GM1	0.330237971826
A2GM2	0.284510499154
A2GM3	1.14676248168
A3FF1	0.713330073805
A3FF2	1.55800294692
A3FF3	1.29106332428
A3FM1	2.21272076922
A3FM2	0.628330827893
A3GF1	0.856053905181
A3GF2	0.321086642759
A3GF3	0.777380981853
A3GM1	0.231282530123
A3GM2	0.224621025901
LF3	0.319896430858
LG3	0.751075754306
LI4	0.651744389866
